import time: self [us] | cumulative | imported package
import time:        42 |       3052 |         pandas.io.sas.sasreader
import time:      3975 |       3975 |         pandas.io.stata
import time:      1791 |      34724 |       pandas.api.typing
import time:      1592 |      51771 |     pandas.api
import time:      2121 |       2121 |           concurrent
import time:      1844 |       1844 |           concurrent.futures._base
import time:      2562 |       6526 |         concurrent.futures
import time:       190 |        190 |               _heapq
import time:      1280 |       1470 |             heapq
import time:      3746 |       3746 |             _queue
import time:      1487 |       6702 |           queue
import time:      1706 |       8408 |         concurrent.futures.thread
import time:      1596 |       1596 |         pandas._testing._io
import time:      1028 |       1028 |         pandas._testing._warnings
import time:        75 |         75 |             cmath
import time:      1713 |       1788 |           pandas._libs.testing
import time:      2034 |       3821 |         pandas._testing.asserters
import time:      1193 |       1193 |         pandas._testing.compat
import time:       960 |        960 |         pandas._testing.contexts
import time:      3132 |      26660 |       pandas._testing
import time:      1444 |      28103 |     pandas.testing
import time:      1217 |       1217 |     pandas.util._print_versions
import time:      1245 |       1245 |       pandas.io.clipboards
import time:      1354 |       1354 |           pandas.io.excel._util
import time:      1569 |       1569 |           pandas.io.excel._calamine
import time:      1404 |       1404 |           pandas.io.excel._odfreader
import time:      1606 |       1606 |           pandas.io.excel._openpyxl
import time:      1525 |       1525 |           pandas.io.excel._pyxlsb
import time:      1394 |       1394 |           pandas.io.excel._xlrd
import time:      2217 |      11066 |         pandas.io.excel._base
import time:      1414 |       1414 |         pandas.io.excel._odswriter
import time:      1426 |       1426 |         pandas.io.excel._xlsxwriter
import time:      1885 |      15789 |       pandas.io.excel
import time:       907 |        907 |       pandas.io.feather_format
import time:      1616 |       1616 |       pandas.io.html
import time:       950 |        950 |       pandas.io.iceberg
import time:      1431 |       1431 |       pandas.io.orc
import time:      2121 |       2121 |       pandas.io.parquet
import time:      1298 |       1298 |         pandas.compat.pickle_compat
import time:      1455 |       2752 |       pandas.io.pickle
import time:      1802 |       1802 |         pandas.core.computation.pytables
import time:      2982 |       4784 |       pandas.io.pytables
import time:      1216 |       1216 |       pandas.io.spss
